n_top,n_bottom,n_outerwear,n_shoes,n_dress,n_accessory,n_total,frac_tshirt,frac_outerwear,frac_winter,frac_formal,n_colors,has_neutral,ghost_ratio,manca_capospalla,manca_scarpe,manca_formale,manca_invernale,troppe_tshirt,poca_varieta_colori,profile
4,3,0,1,0,0,8,0.375,0.0,0.0,0.125,7,1.0,0.1551,1,1,1,1,0,0,minimal
5,8,0,2,5,0,20,0.25,0.0,0.0,0.25,11,1.0,0.4499,1,0,0,1,0,0,summer_only
1,1,0,1,0,0,3,0.3333,0.0,0.0,0.0,2,1.0,0.3281,1,1,1,0,0,1,minimal
8,8,2,3,0,2,23,0.1304,0.087,0.2609,0.1304,7,1.0,0.114,1,0,0,0,0,0,balanced
7,9,0,4,2,0,22,0.3182,0.0,0.0,0.0909,2,0.0,0.2933,1,0,0,1,0,1,summer_only
10,6,6,2,0,2,26,0.0769,0.2308,0.3846,0.4231,4,1.0,0.1482,0,0,0,0,0,0,balanced
11,9,6,2,2,1,31,0.0645,0.1935,0.2258,0.1935,2,1.0,0.274,0,0,0,0,0,1,random
1,3,0,0,0,0,4,0.25,0.0,0.0,0.0,1,1.0,0.5912,1,1,1,0,0,1,minimal
12,13,2,7,2,6,42,0.0476,0.0476,0.1429,0.2381,2,1.0,0.059,1,0,0,0,0,1,random
4,0,0,0,0,0,4,1.0,0.0,0.0,0.0,4,1.0,0.5864,1,1,1,0,0,0,minimal
3,2,0,2,0,0,7,0.4286,0.0,0.0,0.0,3,0.0,0.1244,1,0,1,1,1,1,minimal
14,7,0,1,0,0,22,0.5455,0.0,0.0,0.0,1,1.0,0.5553,1,1,1,1,1,1,tshirt_heavy
12,7,4,4,3,2,32,0.1875,0.125,0.25,0.25,1,1.0,0.192,0,0,0,0,0,1,balanced
2,0,0,1,0,0,3,0.6667,0.0,0.0,0.0,1,0.0,0.6613,1,1,1,0,0,1,minimal
14,4,0,2,2,0,22,0.6364,0.0,0.0,0.0909,9,1.0,0.2853,1,0,0,1,1,0,summer_only
6,5,1,1,1,8,22,0.0,0.0455,0.2273,0.1364,1,0.0,0.4003,1,1,0,0,0,1,random
21,11,3,1,0,6,42,0.0952,0.0714,0.3571,0.1905,1,0.0,0.4776,1,1,0,0,0,1,balanced
11,7,5,1,0,2,26,0.1538,0.1923,0.3462,0.3077,6,1.0,0.048,0,1,0,0,0,0,balanced
17,1,4,3,0,1,26,0.1538,0.1538,0.2692,0.3077,8,1.0,0.3976,0,0,0,0,0,0,balanced
7,5,1,3,5,0,21,0.1429,0.0476,0.0952,0.381,10,1.0,0.4841,1,0,0,0,0,0,random
9,11,7,3,3,5,38,0.0789,0.1842,0.3684,0.2105,8,1.0,0.2298,0,0,0,0,0,0,random
7,6,4,2,7,0,26,0.0,0.1538,0.1538,0.5769,4,1.0,0.2741,0,0,0,0,0,0,formal
8,9,0,2,6,0,25,0.32,0.0,0.0,0.24,3,1.0,0.4471,1,0,1,1,0,0,summer_only
5,1,0,0,0,0,6,0.5,0.0,0.0,0.3333,3,1.0,0.0644,1,1,0,1,1,0,minimal
3,1,0,1,0,0,5,0.6,0.0,0.0,0.0,4,1.0,0.4112,1,1,1,0,1,0,minimal
8,16,0,2,2,0,28,0.2857,0.0,0.0,0.0714,10,1.0,0.1891,1,0,0,1,0,0,summer_only
11,6,9,2,1,3,32,0.125,0.2812,0.3438,0.1562,8,1.0,0.4627,0,0,0,0,0,0,random
